date_id,date,orders
1,01.07.2018,2285
2,02.07.2018,1670
3,03.07.2018,2341
4,04.07.2018,1781
5,05.07.2018,1737
6,06.07.2018,2210
7,07.07.2018,2824
8,08.07.2018,3141
9,09.07.2018,2089
10,10.07.2018,1989
11,11.07.2018,2125
12,12.07.2018,1929
13,13.07.2018,2021
14,14.07.2018,2541
15,15.07.2018,2590
16,16.07.2018,1961
17,17.07.2018,1780
18,18.07.2018,1884
19,19.07.2018,2226
20,20.07.2018,2224
21,21.07.2018,2437
22,22.07.2018,2451
23,23.07.2018,1908
24,24.07.2018,1692
25,25.07.2018,1816
26,26.07.2018,1943
27,27.07.2018,1730
28,28.07.2018,2409
29,29.07.2018,2373
30,30.07.2018,1715
31,31.07.2018,1895
32,01.08.2018,1911
33,02.08.2018,1902
34,03.08.2018,2115
35,04.08.2018,2658
36,05.08.2018,2725
37,06.08.2018,1867
38,07.08.2018,1943
39,08.08.2018,1737
40,09.08.2018,1907
41,10.08.2018,2299
42,11.08.2018,2560
43,12.08.2018,2605
44,13.08.2018,1949
45,14.08.2018,1906
46,15.08.2018,2429
47,16.08.2018,2120
48,17.08.2018,2183
49,18.08.2018,2224
50,19.08.2018,2336
51,20.08.2018,1943
52,21.08.2018,2142
53,22.08.2018,2037
54,23.08.2018,2141
55,24.08.2018,2250
56,25.08.2018,2425
57,26.08.2018,2474
58,27.08.2018,1865
59,28.08.2018,2087
60,29.08.2018,2058
61,30.08.2018,2311
62,31.08.2018,2649
63,01.09.2018,2607
64,02.09.2018,2636
65,03.09.2018,1912
66,04.09.2018,1898
67,05.09.2018,1829
68,06.09.2018,2075
69,07.09.2018,2401
70,08.09.2018,2777
71,09.09.2018,2916
72,10.09.2018,2020
73,11.09.2018,2187
74,12.09.2018,2134
75,13.09.2018,2219
76,14.09.2018,2361
77,15.09.2018,2973
78,16.09.2018,3242
79,17.09.2018,2166
80,18.09.2018,2281
81,19.09.2018,2331
82,20.09.2018,2322
83,21.09.2018,2445
84,22.09.2018,2736
85,23.09.2018,3107
86,24.09.2018,2664
87,25.09.2018,2949
88,26.09.2018,2423
89,27.09.2018,2692
90,28.09.2018,3272
91,29.09.2018,3203
92,30.09.2018,3090
93,01.10.2018,2469
94,02.10.2018,2509
95,03.10.2018,2654
96,04.10.2018,2600
97,05.10.2018,2738
98,06.10.2018,3289
